 Package                           Name                                                              Type    Status         Version        
 Development                       Migrate UI (migrate_ui)                                           Module  Not installed  6.x-2.4        
 Development                       Node import (node_import)                                         Module  Enabled        6.x-1.1        
 Development                       Path redirect generate (path_redirect_generate)                   Module  Not installed  6.x-1.0-rc2    
 Development                       Theme developer (devel_themer)                                    Module  Not installed  6.x-1.x-dev    
 Event                             Calendar Signup (calendarsignup)                                  Module  Not installed  6.x-2.x-dev    
 Event                             Date Picker (datepicker)                                          Module  Not installed  6.x-2.x-dev    
 Event                             Event (event)                                                     Module  Enabled        6.x-2.x-dev    
 Event                             Event Views (event_views)                                         Module  Enabled        6.x-2.4        
 Features                          dev2_blocks (dev2_blocks)                                         Module  Disabled                      
 Features                          dev2_menus (dev2_menus)                                           Module  Enabled                       
 Features                          dev2_stuff (dev2_stuff)                                           Module  Enabled        6.x-1.1        
 Features                          dev2_views (dev2_views)                                           Module  Disabled                      
 Features                          Features (features)                                               Module  Enabled        6.x-1.2        
 Features extra                    FE block (fe_block)                                               Module  Enabled        6.x-1.x-dev    
 Features extra                    FE nodequeue (fe_nodequeue)                                       Module  Not installed  6.x-1.x-dev    
 Features extra                    FE taxonomy (fe_taxonomy)                                         Module  Not installed  6.x-1.x-dev    
 Form Elements                     Hierarchical Select (hierarchical_select)                         Module  Enabled        6.x-3.7        
 Form Elements                     Hierarchical Select Content Taxonomy (hs_content_taxonomy)        Module  Enabled        6.x-3.7        
 Form Elements                     Hierarchical Select Flat List (hs_flatlist)                       Module  Disabled       6.x-3.7        
 Form Elements                     Hierarchical Select Menu (hs_menu)                                Module  Disabled       6.x-3.7        
 Form Elements                     Hierarchical Select Small Hierarchy (hs_smallhierarchy)           Module  Not installed  6.x-3.7        
 Form Elements                     Hierarchical Select Taxonomy (hs_taxonomy)                        Module  Enabled        6.x-3.7        
 Form Elements                     Hierarchical Select Taxonomy Views (hs_taxonomy_views)            Module  Enabled        6.x-3.7        
 Image                             Image (image)                                                     Module  Enabled        6.x-1.1        
 Image                             Image Attach (image_attach)                                       Module  Enabled        6.x-1.1        
 Image                             Image Gallery (image_gallery)                                     Module  Enabled        6.x-1.1        
 Image                             Image Import (image_import)                                       Module  Enabled        6.x-1.1        
 Image                             ImageMagick Advanced Options (image_im_advanced)                  Module  Not installed  6.x-1.1        
 LDAP integration                  Authentication (ldapauth)                                         Module  Enabled        6.x-1.0-beta2  
 LDAP integration                  Data (ldapdata)                                                   Module  Enabled        6.x-1.0-beta2  
 LDAP integration                  Groups (ldapgroups)                                               Module  Enabled        6.x-1.0-beta2  
 Mail                              Anonymous Contact (anonymous_contact)                             Module  Enabled        6.x-1.1        
 Mail                              HTML Mail (htmlmail)                                              Module  Enabled        6.x-2.62       
 Mail                              Mail Editor (mail_edit)                                           Module  Enabled        6.x-1.x-dev    
 Mail                              Mail System (mailsystem)                                          Module  Enabled        6.x-2.32       
 Meta tags                         Nodewords (nodewords)                                             Module  Enabled        6.x-1.13       
 Meta tags                         Nodewords basic meta tags (nodewords_basic)                       Module  Enabled        6.x-1.13       
 Meta tags                         Nodewords extra meta tags (nodewords_extra)                       Module  Not installed  6.x-1.13       
 Meta tags                         Nodewords Open Graph meta tags (nodewords_og)                     Module  Not installed  6.x-1.13       
 Migrate Examples                  Migrate Extras Date Example (migrate_extras_date)                 Module  Not installed  6.x-2.4        
